ID	S.ERR260132	S.ERR260133	S.ERR260134	S.ERR260135	S.ERR260136	S.ERR260137	S.ERR260138	S.ERR260139	S.ERR260140	S.ERR260141	S.ERR260142	S.ERR260143	S.ERR260144	S.ERR260145	S.ERR260146	S.ERR260147	S.ERR260148	S.ERR260149	S.ERR260150	S.ERR260151	S.ERR260152	S.ERR260153	S.ERR260154	S.ERR260155	S.ERR260156	S.ERR260157	S.ERR260158	S.ERR260159	S.ERR260160	S.ERR260161	S.ERR260162	S.ERR260163	S.ERR260164	S.ERR260165	S.ERR260166	S.ERR260167	S.ERR260168	S.ERR260169	S.ERR260170	S.ERR260171	S.ERR260172	S.ERR260173	S.ERR260174	S.ERR260175	S.ERR260176	S.ERR260177	S.ERR260178	S.ERR260179	S.ERR260180	S.ERR260181	S.ERR260182	S.ERR260183	S.ERR260184	S.ERR260185	S.ERR260186	S.ERR260187	S.ERR260188	S.ERR260189	S.ERR260190	S.ERR260191	S.ERR260192	S.ERR260193	S.ERR260194	S.ERR260195	S.ERR260196	S.ERR260197	S.ERR260198	S.ERR260199	S.ERR260200	S.ERR260201	S.ERR260202	S.ERR260203	S.ERR260204	S.ERR260205	S.ERR260206	S.ERR260207	S.ERR260208	S.ERR260209	S.ERR260210	S.ERR260211	S.ERR260214	S.ERR260215	S.ERR260216	S.ERR260217	S.ERR260218	S.ERR260219	S.ERR260220	S.ERR260221	S.ERR260222	S.ERR260223	S.ERR260224	S.ERR260225	S.ERR260226	S.ERR260227	S.ERR260228	S.ERR260229	S.ERR260230	S.ERR260231	S.ERR260232	S.ERR260233	S.ERR260234	S.ERR260235	S.ERR260236	S.ERR260237	S.ERR260238	S.ERR260239	S.ERR260240	S.ERR260241	S.ERR260242	S.ERR260243	S.ERR260244	S.ERR260245	S.ERR260246	S.ERR260247	S.ERR260248	S.ERR260249	S.ERR260250	S.ERR260251	S.ERR260252	S.ERR260253	S.ERR260254	S.ERR260255	S.ERR260256	S.ERR260257	S.ERR260258	S.ERR260259	S.ERR260260	S.ERR260261	S.ERR260262	S.ERR260263	S.ERR260264	S.ERR260265	S.ERR260266	S.ERR260267	S.ERR260268	S.ERR260269	S.ERR260270	S.ERR260271	S.ERR260272	S.ERR260273	S.ERR260274	S.ERR260275	S.ERR260276	S.ERR275251	S.ERR275252	
Acetivibrio	0.00000000	0.00000000	0.00034492	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032663	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026972	0.00000000	0.00000000	0.00000000	0.00000000	0.00020932	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034042	0.00027971	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00033041	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032658	0.00000000	0.00045739	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047262	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020866	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00063997	0.00026200	
Acetobacterium	0.00000000	0.00000000	0.00016233	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028442	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00099754	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037151	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acidaminococcus	0.00000000	0.00000000	0.00018230	0.00020381	0.00038681	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031813	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019611	0.00000000	0.00000000	0.00000000	0.00042845	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00507822	0.00000000	0.00015131	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027517	0.00014696	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036162	0.00000000	0.00000000	0.00865442	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025010	0.00080551	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034432	0.00067538	0.00042303	0.00036903	0.00000000	0.00000000	0.00042420	0.00000000	0.00000000	0.00000000	0.00305596	0.00543325	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036324	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019140	0.00000000	0.00000000	0.00000000	0.00034266	0.00000000	0.00018065	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00060193	0.00000000	
Acinetobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037425	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Actinomyces	0.00000000	0.00000000	0.00199468	0.00006277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028841	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Akkermansia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00447856	0.00967140	0.00034139	0.00238971	0.04066645	0.00000000	0.03701537	0.00000000	0.00000000	0.00000000	0.04769072	0.00000000	0.00038203	0.00000000	0.00000000	0.00988673	0.00000000	0.00000000	0.01602640	0.00000000	0.00264881	0.03791954	0.01104424	0.01319722	0.00000000	0.00000000	0.02512642	0.00000000	0.00963459	0.04013293	0.02156190	0.00000000	0.00000000	0.00000000	0.00559273	0.00000000	0.00671637	0.01251214	0.01613152	0.00000000	0.00000000	0.00886604	0.00980887	0.00000000	0.00000000	0.00000000	0.00000000	0.04054118	0.02445118	0.02227826	0.00581263	0.00944937	0.01175827	0.00612829	0.00055958	0.00000000	0.04763758	0.00006988	0.00441338	0.00953921	0.00000000	0.01357299	0.01546507	0.01372885	0.15241466	0.00796896	0.03521094	0.01799188	0.00000000	0.00000000	0.00079217	0.00120070	0.00000000	0.00000000	0.00000000	0.14599137	0.00000000	0.01236252	0.01488356	0.00142481	0.00000000	0.03994259	0.02668016	0.00000000	0.00104093	0.02241729	0.00000000	0.00000000	0.01824494	0.00000000	0.04400380	0.00000000	0.02991226	0.00000000	0.01288756	0.00840714	0.02730388	0.00279644	0.03496099	0.00000000	0.01472038	0.00275042	0.05155344	0.03217358	0.00000000	0.06512184	0.00474542	0.04209711	0.01578709	0.01171195	0.00000000	0.05462751	0.00000000	0.02870339	0.00147696	0.00940342	0.00000000	0.00045380	0.01116227	0.00000000	0.00000000	0.01713651	0.00666794	0.07404907	0.01746252	0.01803885	0.00000000	0.01769260	0.00655978	0.00000000	0.00000000	0.01041245	0.00000000	0.00000000	0.00000000	0.00061137	0.00000000	0.00000000	0.02736806	0.00751244	
Alistipes	0.01864457	0.00694345	0.00594705	0.05874735	0.00387004	0.01215698	0.00155044	0.00000000	0.00315092	0.00072315	0.01366377	0.01080892	0.00191669	0.00000000	0.00000000	0.00355721	0.00054957	0.04786284	0.02004145	0.00878522	0.00066002	0.00668798	0.00464581	0.02002605	0.00000000	0.00319100	0.01684130	0.03279666	0.00040004	0.00339935	0.00591033	0.02850384	0.03088249	0.00323507	0.00858340	0.00000000	0.00000000	0.00241406	0.12375266	0.01637203	0.00570097	0.00406402	0.01698951	0.01707466	0.00241978	0.00000000	0.01344201	0.01569050	0.00000000	0.01221484	0.02413067	0.00160796	0.02687651	0.01714037	0.03288642	0.00440913	0.00101129	0.03729010	0.01135635	0.00310387	0.00046237	0.01029337	0.01906775	0.00105912	0.03083552	0.02682360	0.00946765	0.06535689	0.01917674	0.00219417	0.00658339	0.00028197	0.00093803	0.00957328	0.00573460	0.00000000	0.01151066	0.00904091	0.01549706	0.00000000	0.00000000	0.00035676	0.00526632	0.01369288	0.01650539	0.00981588	0.00000000	0.00346655	0.04271144	0.00885793	0.00295690	0.01851422	0.01203509	0.00027922	0.00375634	0.01448985	0.01407244	0.00934006	0.01170529	0.03111994	0.00055817	0.00073172	0.00145951	0.01909760	0.00873677	0.00437516	0.00021073	0.00302108	0.02234417	0.00091008	0.01793480	0.00937487	0.07690678	0.04134527	0.00941630	0.00106046	0.08616995	0.00331931	0.01430646	0.00441814	0.01528921	0.02077688	0.02812839	0.00000000	0.00826979	0.02400989	0.03017480	0.03782077	0.00559441	0.01794986	0.03065320	0.02493109	0.04764406	0.06179283	0.00426731	0.00187458	0.00298427	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00921107	0.01721424	
Alkaliphilus	0.00000000	0.00000000	0.00015525	0.00022911	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012797	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027222	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050344	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01818913	0.00000000	0.00000000	0.00000000	0.00012207	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00051634	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00075518	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031752	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045852	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerococcus	0.00000000	0.00000000	0.00007756	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerofustis	0.00000000	0.00000000	0.00046796	0.00028068	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036848	0.00000000	0.00035539	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00043710	0.00058397	0.00088544	0.00053738	0.00083134	0.00051020	0.00223806	0.00188408	0.00090751	0.00115258	0.00095758	0.00109060	0.00141139	0.00101770	0.00130740	0.00023611	0.00070363	0.00000000	0.00476914	0.00000000	0.00085267	0.00056439	0.00073534	0.00107132	0.00056785	0.00087843	0.00000000	0.00067390	0.00074258	0.00351369	0.00076075	0.00166919	0.00061316	0.00033535	0.00041982	0.00070091	0.00081857	0.00000000	0.00150312	0.00052650	0.00063568	0.00107248	0.00000000	0.00042360	0.00000000	0.00116556	0.00025891	0.00062373	0.00076860	0.00111438	0.00029708	0.00027526	0.00055992	0.00174145	0.00049731	0.00342472	0.00018774	0.00054407	0.00084551	0.00130494	0.00062112	0.00107936	0.00072533	0.00110544	0.00094907	0.00036965	0.00297992	0.00020924	0.00172277	0.00173792	0.00076424	0.00000000	0.00077088	0.00068936	0.00000000	0.00052153	0.00073851	0.00079792	0.00041241	0.00066012	0.00602435	0.00112889	0.00000000	0.00132736	0.00000000	0.00000000	0.00081093	0.00000000	0.00108478	0.00047081	0.00082244	0.00000000	0.00000000	0.00026892	0.00037883	0.00079031	0.00047497	0.00089807	0.00051032	0.00256192	0.00161558	0.00116059	0.00000000	0.00022027	0.00042053	0.00000000	0.00195965	0.00272778	0.00000000	0.00060559	0.00121385	0.00052393	0.00179023	0.00070998	0.00191154	0.00039810	0.00020500	0.00045372	0.00000000	0.00038729	0.00101070	0.00031899	0.00045082	0.00057921	0.00031780	0.00031688	0.00047511	0.00018898	0.00018720	0.00041985	0.00029791	0.00018714	0.00076868	0.00000000	0.00000000	0.00270590	0.00187696	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00211023	0.00031713	0.00107047	
Anaerotruncus	0.00000000	0.00043365	0.00144888	0.00198077	0.00057466	0.00111477	0.00147886	0.00108702	0.00000000	0.00129648	0.00090920	0.00147694	0.00065062	0.00066222	0.00000000	0.00086453	0.00027089	0.00084726	0.00113994	0.00067558	0.00097069	0.00069152	0.00069192	0.00000000	0.00000000	0.00062564	0.00064238	0.00071585	0.00044506	0.00066267	0.00085648	0.00135914	0.00087082	0.00079415	0.00145758	0.00043020	0.00051894	0.00059430	0.00092102	0.00100839	0.00155230	0.00133810	0.00166431	0.00168178	0.00036736	0.00068111	0.00106480	0.00100800	0.00082381	0.00062716	0.00083059	0.00135656	0.00168297	0.00097646	0.00121382	0.00036976	0.00065172	0.00112196	0.00146617	0.00208478	0.00080744	0.00092449	0.00073243	0.00084454	0.00070583	0.00132767	0.00081436	0.00147504	0.00084422	0.00053061	0.00077752	0.00078877	0.00151140	0.00138372	0.00118173	0.00064771	0.00104139	0.00114311	0.00101515	0.00127713	0.00000000	0.00144861	0.00000000	0.00142037	0.00075406	0.00097804	0.00162833	0.00095325	0.00049152	0.00000000	0.00108447	0.00090779	0.00150354	0.00044058	0.00175616	0.00047619	0.00094277	0.00159587	0.00054201	0.00091958	0.00130826	0.00058197	0.00064654	0.00110311	0.00036452	0.00072359	0.00061124	0.00203497	0.00137986	0.00102014	0.00083001	0.00069498	0.00084342	0.00074024	0.00142291	0.00100132	0.00044637	0.00031744	0.00094464	0.00099353	0.00176329	0.00082370	0.00118349	0.00162910	0.00063409	0.00094125	0.00113998	0.00084703	0.00072063	0.00116557	0.00300667	0.00074404	0.00118896	0.00101580	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00196326	0.00092183	
